# text start(s) end(s) duration(s) rms f0(Hz) spectral_centroid(Hz) zcr
k 15.430 15.500 0.070 0.00911 0.00 4106.78 0.08161
u̥ 15.500 15.670 0.170 0.10522 111.74 3425.87 0.04095
s 15.720 15.850 0.130 0.02711 1719.84 9071.65 0.33101
お 15.850 16.010 0.160 0.17487 129.04 1935.85 0.03212
だ 16.010 16.140 0.130 0.12542 180.75 3195.20 0.05229
い 16.140 16.230 0.090 0.08439 190.43 3582.38 0.02631
な 16.230 16.370 0.140 0.13825 184.35 2892.65 0.03114
た 16.370 16.510 0.140 0.15778 177.18 3600.40 0.06629
い 16.510 16.600 0.090 0.13477 171.47 2905.36 0.02258
け 16.600 16.760 0.160 0.14736 173.63 3465.78 0.05940
ん 16.760 16.830 0.070 0.11389 163.06 2079.66 0.01479
が 16.830 16.960 0.130 0.13309 161.83 3139.20 0.03011
で 16.960 17.090 0.130 0.10367 152.37 3357.65 0.02604
ひ 17.090 17.250 0.160 0.09185 145.15 3673.06 0.08039
r 17.250 17.290 0.040 0.08938 95.63 2726.87 0.01538
う 17.290 17.400 0.110 0.04397 84.15 2226.28 0.02163
ぼ 17.770 17.920 0.150 0.11864 104.19 2743.70 0.04304
s 17.920 18.020 0.100 0.03657 0.00 9948.29 0.38612
ɨ 18.020 18.060 0.040 0.01009 874.93 9025.42 0.16101
ぽ 18.060 18.160 0.100 0.14155 179.40 3257.06 0.04329
ら 18.160 18.320 0.160 0.15699 192.83 3092.42 0.03732
s 18.320 18.380 0.060 0.05469 0.00 10532.47 0.36182
ɨ 18.380 18.420 0.040 0.04109 0.00 10729.97 0.30017
か 18.420 18.580 0.160 0.12041 187.17 4520.98 0.09403
い 18.580 18.690 0.110 0.11078 186.29 3086.99 0.02202
h 18.690 18.770 0.080 0.03391 0.00 4889.27 0.10456
お 18.770 18.930 0.160 0.21687 184.87 2577.42 0.03045
k 18.930 19.010 0.080 0.01232 177.94 3464.11 0.05008
う 19.010 19.080 0.070 0.22415 184.85 2740.18 0.03362
r 19.080 19.120 0.040 0.13847 183.67 2954.09 0.01904
う 19.120 19.270 0.150 0.24327 187.00 3031.87 0.02141
z 19.270 19.330 0.060 0.03911 150.13 9005.03 0.22616
ɨo 19.330 19.630 0.300 0.13791 114.64 2457.68 0.03596
た 19.680 19.860 0.180 0.10803 104.66 4171.20 0.09406
n 19.860 19.940 0.080 0.18653 139.27 1296.19 0.01081
t 19.940 19.970 0.030 0.10299 149.11 1965.23 0.00830
お 19.970 20.130 0.160 0.13134 148.98 2031.42 0.02870
sh 20.130 20.210 0.080 0.02625 0.00 8429.82 0.27693
て 20.210 20.350 0.140 0.08391 147.74 4820.00 0.14724
い 20.350 20.410 0.060 0.10271 144.87 3199.66 0.03410
た 20.410 20.510 0.100 0.08910 143.51 3943.36 0.07796
だ 20.510 20.640 0.130 0.11964 137.79 2815.10 0.03011
k 20.640 20.700 0.060 0.00912 141.42 4153.19 0.05762
u̥ 20.700 20.740 0.040 0.11489 140.00 2423.49 0.02576
よ 20.740 20.880 0.140 0.13857 135.23 2774.55 0.02640
t 20.880 20.970 0.090 0.01436 131.72 4451.67 0.08240
え 20.970 21.110 0.140 0.19150 128.97 3206.21 0.02926
で 21.110 21.260 0.150 0.12247 122.55 2903.02 0.03087
s 21.260 21.350 0.090 0.04231 0.00 10443.40 0.40503
ɨ̥ 21.350 21.410 0.060 0.00951 0.00 10883.25 0.36564
